,AttitudeToHomosexuality,HomosexualPeopleYouKnow,HowMuchYouAgreeThatMoreChildreanMoreBlessing,HowMuchYouAgreeThatHavingBoysBetterThanGirls,ReligiousBelief,OnlineShoppingFrequency,SocialMediaUsageFrequency,PaidByTheNation,HasStudiesAbroad,BornProvinceCityCounty,AnnualIncome,Birthyear,Birthmonth,MaritalStatus,ResidenceProvinceCityCounty,FatherEducation,MotherEducation,ArmyEnrollment,PoliticalRole,FatherResidenceType,MotherResidenceType,BornResidenceType,CurrentResidenceType,EducationLevel,Attitude,Age,Income,Education
93,3,0,,,9,,,,2.0,110106.0,,1967,,2,110106.0,3.0,2.0,2,3,2.0,2.0,2,4,3.0,2,2,3,2
94,4,5,,,9,1.0,1.0,,2.0,110106.0,120000.0,1989,10.0,1,110106.0,8.0,9.0,2,3,2.0,2.0,2,4,9.0,3,1,3,4
95,2,0,,,9,1.0,1.0,,2.0,110106.0,100000.0,1994,10.0,1,110106.0,4.0,9.0,2,3,2.0,2.0,2,2,9.0,1,1,2,4
96,3,0,,,9,1.0,1.0,1.0,2.0,110106.0,76000.0,1977,11.0,2,110106.0,8.0,8.0,2,3,2.0,2.0,2,2,9.0,2,2,2,4
97,3,0,,,9,1.0,1.0,,2.0,110106.0,72000.0,1985,3.0,2,110106.0,3.0,2.0,2,3,2.0,2.0,3,4,9.0,2,2,2,4
98,1,0,,,9,2.0,2.0,,2.0,110106.0,360000.0,1979,10.0,4,110106.0,3.0,3.0,2,3,1.0,1.0,1,4,9.0,1,2,3,4
99,3,0,,,9,1.0,1.0,,2.0,110106.0,120000.0,1985,11.0,4,110106.0,,,2,3,2.0,2.0,2,4,9.0,2,2,3,4
100,3,0,,,9,2.0,1.0,,2.0,110114.0,300000.0,1982,8.0,2,110114.0,8.0,9.0,2,3,2.0,2.0,2,2,9.0,2,2,3,4
101,3,0,,,9,1.0,1.0,,2.0,120101.0,76000.0,1991,1.0,1,110106.0,,,2,3,2.0,2.0,2,2,9.0,2,1,2,4
102,3,0,,,9,3.0,1.0,,2.0,230102.0,99999.0,1989,9.0,1,110106.0,,,2,3,2.0,2.0,2,4,9.0,2,1,2,4
103,3,0,,,9,3.0,1.0,1.0,2.0,110106.0,84000.0,1980,4.0,2,110106.0,4.0,3.0,2,3,2.0,2.0,2,4,9.0,2,2,2,4
104,3,0,,,9,1.0,1.0,,2.0,110106.0,200000.0,1977,6.0,2,110106.0,4.0,3.0,2,3,2.0,2.0,2,2,10.0,2,2,3,4
105,3,0,,,9,1.0,1.0,,2.0,210102.0,100000.0,1990,6.0,1,110106.0,,,2,3,2.0,2.0,3,2,9.0,2,1,2,4
106,2,0,,,3,1.0,1.0,,2.0,211422.0,90000.0,1985,4.0,1,211422.0,3.0,3.0,2,3,1.0,1.0,1,2,8.0,1,2,2,4
107,3,0,,,9,,,,2.0,110106.0,,1992,7.0,1,110106.0,9.0,9.0,2,1,2.0,2.0,3,4,11.0,2,1,3,4
108,3,0,,,9,1.0,1.0,,1.0,371103.0,120000.0,1990,12.0,1,110106.0,8.0,7.0,2,3,2.0,2.0,3,4,9.0,2,1,3,4
109,3,0,,,9,1.0,1.0,2.0,2.0,110106.0,150000.0,1983,11.0,1,110106.0,4.0,8.0,2,3,2.0,2.0,2,4,9.0,2,2,3,4
110,4,2,,,9,1.0,1.0,1.0,2.0,110106.0,99999.0,1987,10.0,1,110106.0,10.0,9.0,2,3,2.0,2.0,2,2,9.0,3,2,2,4
111,3,0,2.0,5.0,9,,,,2.0,110106.0,,1964,,2,110106.0,3.0,3.0,2,3,2.0,1.0,1,1,3.0,2,2,3,2
112,3,0,3.0,5.0,9,1.0,1.0,1.0,2.0,110106.0,100000.0,1987,,2,110106.0,,,2,3,1.0,1.0,1,3,9.0,2,2,2,4
113,3,0,2.0,4.0,9,1.0,1.0,1.0,2.0,110106.0,60000.0,1987,,2,110106.0,3.0,3.0,2,3,2.0,2.0,2,2,8.0,2,2,2,4
114,3,0,4.0,4.0,9,,,,2.0,110106.0,,1959,,2,110106.0,4.0,4.0,2,3,2.0,2.0,1,1,4.0,2,2,3,3
115,2,0,3.0,4.0,9,,,,2.0,110106.0,,1956,,2,110106.0,1.0,1.0,2,3,2.0,1.0,1,1,3.0,1,3,3,2
116,1,0,4.0,4.0,9,2.0,2.0,1.0,2.0,110106.0,50000.0,1972,,2,110106.0,8.0,8.0,2,3,2.0,1.0,1,1,8.0,1,2,2,4
117,3,0,5.0,5.0,9,4.0,2.0,1.0,2.0,110106.0,50000.0,1971,,2,110106.0,3.0,2.0,2,3,1.0,1.0,1,1,8.0,2,2,2,4
